time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
2.0400000000000014,-0.58616581574,0.230165531549,13.7555716306,0.0304792566077,0.18397412233,0.0,-1.28058351259,0.328973438371,3.51355535028,0.004677209184,0.21771155946,0.0,438.87774552108374,440.770448499865,438.93238288955274,440.0065116642782
2.1000000000000014,-0.666685935091,0.250496007954,13.9681730608,0.0309943194712,0.196590820035,0.0,-1.40462024392,0.348730518312,3.57262905819,0.0154345256769,0.18817771777,0.0,442.6082238904878,440.2137407996088,439.65528715064266,440.5456059794921
2.1600000000000015,-0.755231221716,0.272076243134,14.1859622407,0.0327882716995,0.207403372024,0.0,-1.5479699017,0.370737835499,3.68627552409,0.0492795951219,0.155293054465,0.0,459.8716448003134,457.2886454064037,458.4230470224033,461.1049369580176
2.2200000000000015,-0.851882037841,0.294906460853,14.4071305295,0.0354680592611,0.216928529971,0.0,-1.67454698512,0.3905057738,3.68569324325,0.0333075086296,0.164895001122,0.0,423.95454782496967,424.8039426628912,423.85789734972025,422.4841143324711
2.2800000000000016,-0.957475363048,0.319154568889,14.6334924524,0.0369640550916,0.227285073981,0.0,-1.8462393192,0.417935642724,3.85868407079,-0.00249464066856,0.1847372824,0.0,478.2510799139678,479.7860025914646,481.39896975291776,478.68210983841954
2.3400000000000016,-1.07216958841,0.34484166168,14.8639721875,0.0369212840624,0.23931674175,0.0,-1.97788445744,0.438280849488,3.82371062526,0.00263198236566,0.221068663327,0.0,413.68092061214054,416.90896698679967,414.46459302292175,414.9149848259991
2.4000000000000017,-1.19583218372,0.371875981808,15.0957784972,0.0373303180703,0.252479934859,0.0,-2.1454262387,0.462859778712,3.90235559327,0.0140933289124,0.215797315495,0.0,453.6711307445531,453.29420864158874,452.81958639141817,453.74063230162665
2.4600000000000017,-1.3295241829,0.400350331885,15.3311092933,0.0382616686226,0.265701942709,0.0,-2.31213969056,0.486339680082,3.94131325571,0.0182376185544,0.228206959438,0.0,441.56163916837585,442.6324137336,442.4469506930415,442.7879563200416
2.520000000000002,-1.47417467049,0.430347879054,15.5712371249,0.0405071200685,0.279157000172,0.0,-2.51082060984,0.51372412593,4.06181901638,0.0607388977754,0.214874566565,0.0,470.5312357591522,469.54458885698836,468.0392651481889,471.3362324945867
2.580000000000002,-1.6317421206,0.462141090845,15.8209372631,0.0444328847067,0.292348328034,0.0,-2.74268647424,0.546426388615,4.25995040561,0.0734582037877,0.228298873584,0.0,495.4074149089538,496.43570480852134,494.9169866716983,495.85499083250505
